,0
141,0.9949408637156208
142,0.9944390190975994
143,0.9948391384552111
144,0.9946424696184188
145,0.9945203993059272
146,0.9945000542538452
147,0.9943712022573262
148,0.9951104058163038
149,0.9948459201392384
150,0.9952324761287955
151,0.994601779514255
152,0.9950764973961672
153,0.99534776475726
154,0.9958428276912541
155,0.9958496093752814
156,0.9961954752606746
157,0.9964260525176035
158,0.9962836371530298
159,0.996202256944702
160,0.99645996093774
161,0.9968261718752153
162,0.9967312282988328
163,0.9963650173613576
164,0.9963107638891391
165,0.9961412217884561
166,0.9966227213543957
167,0.9973076714411548
168,0.997246636284909
169,0.9987046983507822
170,0.998826768663274
171,0.999125162760476
172,0.9994167751736507
173,0.9994845920139238
174,0.9995456271701697
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,0.9999050564236176
217,0.9993014865451862
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,0.9997151692708527
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,1.0
280,1.0
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,0.9997558593750165
301,0.9997287326389073
302,0.9999525282118088
303,0.9999389648437541
304,1.0
305,0.9997626410590439
306,0.9998101128472351
307,0.999701605902798
308,1.0
309,1.0
310,1.0
311,0.9997762044270985
312,0.9997490776909892
313,0.9996609157986341
314,0.9999796549479181
315,0.9995795355903063
316,0.9994778103298966
317,0.9995998806423882
318,0.9995117187500331
319,0.9990166558160389
320,0.9985894097223179
321,0.9965481228300952
322,0.99767388237863
323,0.9972534179689363
324,0.9970228407120074
325,0.997843424479313
326,0.9968668619793791
327,0.9969007703995157
328,0.9969211154515977
329,0.9967445929726109
330,0.994920415319124
331,0.9927164219597358
332,0.9914548463234507
333,0.9915635850700166
334,0.9905590635031464
335,0.9887898763028435
336,0.9884507921014777
337,0.9869106396840303
338,0.9848765746504446
339,0.9843953450531416
340,0.9841567094819443
341,0.9812282986123841
342,0.984001681892942
343,0.9871442250889891
344,0.9867289377049732
345,0.9873514886803737
346,0.9871812308747242
347,0.9872870115303005
348,0.985461428349505
349,0.986314302403907
350,0.9846957490466467
351,0.9848014825183243
352,0.9877133848002261
353,0.9886409239629816
354,0.9866666666675719
355,0.9884023861843236
356,0.9871872429810434
357,0.9880283510422118
358,0.9866474882631797
359,0.9903828471410505
360,0.9906663580421364
361,0.9902497189391033
362,0.9900278513694702
363,0.9895444614828041
364,0.9918212890630547
365,0.9923027886289942
366,0.9938083224830588
367,0.9935845269101573
368,0.9932522243928187
369,0.993130154080327
370,0.9931098090282451
371,0.9943983289934354
372,0.9944864908857906
373,0.9941406250003973
374,0.99413384331637
375,0.9923366970491309
376,0.9929199218754802
377,0.9921264648442839
378,0.9926825629345241
379,0.9950086805558941
380,0.996073404948183
381,0.9963378906252484
382,0.9975789388022476
383,0.9980061848959686
384,0.9990437825521482
385,0.9997490776909892
386,1.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,1.0
393,0.9991183810764487
394,0.9995456271701697
395,0.9995659722222516
396,1.0
397,1.0
398,1.0
399,1.0
400,1.0
401,1.0
402,1.0
403,1.0
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
419,1.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,1.0
426,1.0
427,1.0
428,1.0
429,1.0
430,1.0
431,1.0
432,1.0
433,1.0
434,1.0
435,1.0
436,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,0.9999796549479181
500,1.0
501,1.0
502,1.0
503,1.0
504,1.0
505,1.0
506,1.0
507,1.0
508,1.0
509,1.0
510,1.0
511,1.0
512,1.0
513,1.0
514,1.0
515,1.0
516,1.0
517,1.0
518,1.0
519,1.0
520,1.0
521,1.0
522,1.0
523,1.0
524,1.0
525,1.0
526,1.0
527,1.0
528,1.0
529,1.0
530,1.0
531,1.0
532,1.0
533,1.0
534,1.0
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,0.9997355143229346
542,0.9997219509548799
543,0.9997626410590439
544,0.9997558593750165
545,0.9997626410590439
546,0.9998236762152898
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,1.0
555,1.0
556,1.0
557,0.9999118381076448
558,0.9997626410590439
559,0.999125162760476
560,0.9989691840278477
561,0.9988878038195199
562,0.9990980360243668
563,0.9991115993924213
564,0.9988199869792467
565,0.998548719618154
566,0.998677571614673
567,0.9987453884549462
568,0.9985351562500994
569,0.996500651041904
570,0.9952460394968502
571,0.9958428276912541
572,0.9927232530386879
573,0.9940253363719329
574,0.9936387803823759
575,0.9906073676221647
576,0.9906141493061921
577,0.9906343673287511
578,0.9901123046881706
579,0.9906955295145199
580,0.9886221004003893
581,0.9892230270482879
582,0.9883355034730132
583,0.9901801215284437
584,0.990804036458957
585,0.9908101325924372
586,0.9898003472229139
587,0.9901235237862908
588,0.990454610213604
589,0.9904367597658101
590,0.9892645941847558
591,0.9902886284728808
592,0.9907158745666018
593,0.99167542996766
594,0.9925068720947157
595,0.9919426550552242
596,0.9926670103657224
597,0.9907090928825745
598,0.9893595377611383
599,0.9879014756952649
600,0.9882127006970445
601,0.9872572157126698
602,0.9879263097927173
603,0.9886234897469881
604,0.9882981395135788
605,0.9884906236231482
606,0.9920232101488667
607,0.9910575348429254
608,0.9908690689717601
609,0.9914874521514929
610,0.987300725867492
611,0.9873368757515871
612,0.9871053077844935
613,0.9869908773366575
614,0.9887573321754319
615,0.9896887608859183
616,0.9910576458833851
617,0.9892930856560417
618,0.9905541133784638
619,0.9917291852300845
620,0.9893802784371832
621,0.9894238476280466
622,0.9902313519978392
623,0.9887409537640659
624,0.9881646771576122
625,0.9913890946661735
626,0.9909311377861834
627,0.992698099738743
628,0.9939731612030595
629,0.9936778487034037
630,0.9944518012974465
631,0.9936095300770242
632,0.9952655567559034
633,0.9937296842452392
634,0.9937675669074254
635,0.9907395472221532
636,0.9926875593547221
637,0.9935437443571549
638,0.9948560299140959
639,0.9951838938560605
640,0.9965995398181942
641,0.9958731817906947
642,0.9974975585939198
643,0.9987860785591101
644,0.9981214735244329
645,0.9991997612847765
646,0.9995591905382243
647,0.9997558593750165
648,0.9995049370660058
649,1.0
650,1.0
651,0.9999593098958361
652,1.0
653,0.9999864366319454
654,1.0
655,0.9999660915798634
656,0.9997083875868253
657,1.0
658,1.0
659,1.0
660,1.0
661,1.0
662,1.0
663,1.0
664,1.0
665,1.0
666,0.9999932183159727
667,0.9999457465277815
668,0.9992947048611589
669,1.0
670,1.0
671,1.0
672,1.0
673,1.0
674,1.0
675,1.0
676,0.9999254014756995
677,1.0
678,0.9999186197916722
679,1.0
680,1.0
681,1.0
682,1.0
683,1.0
684,1.0
685,1.0
686,1.0
687,1.0
688,1.0
689,1.0
690,1.0
691,1.0
692,1.0
693,1.0
694,1.0
695,1.0
696,1.0
697,1.0
698,1.0
699,1.0
700,1.0
701,1.0
702,1.0
703,1.0
704,1.0
705,1.0
706,1.0
707,1.0
708,1.0
709,1.0
710,1.0
711,1.0
712,1.0
713,1.0
714,1.0
715,1.0
716,1.0
717,1.0
718,1.0
719,1.0
720,1.0
721,1.0
722,1.0
723,1.0
724,1.0
725,1.0
726,1.0
727,1.0
728,1.0
729,1.0
730,1.0
731,1.0
